step,buffer,mse,ready,delta_mae,delta_mae_x,delta_mae_v,delta_mae_th,delta_mae_om,reward_mae,plan_pred_err,plan_count
13907,4000,0.010771,True,0.098291,0.105094,0.102589,0.131735,0.053745,0.010057,0.335296,13907
13907,4000,0.019483,True,0.100921,0.123399,0.107716,0.126116,0.046454,0.006885,0.353970,13907
13907,4000,0.011837,True,0.096408,0.103265,0.097407,0.134004,0.050958,0.002319,0.323377,13907
13907,4000,0.018276,True,0.087138,0.093585,0.087045,0.118159,0.049762,0.009333,0.295658,13907
13907,4000,0.013846,True,0.094509,0.077974,0.100922,0.144853,0.054287,0.008180,0.302718,13907
13907,4000,0.016991,True,0.081243,0.071949,0.080857,0.125583,0.046581,0.008639,0.258761,13907
13907,4000,0.019345,True,0.088837,0.089687,0.086966,0.127947,0.050748,0.008178,0.293137,13907
13907,4000,0.023680,False,0.102837,0.093327,0.110167,0.146006,0.061847,0.001930,0.342268,13907
13907,4000,0.019304,True,0.100711,0.094480,0.101634,0.140863,0.065868,0.007755,0.337474,13907
13907,4000,0.012512,True,0.102868,0.108501,0.101768,0.137141,0.064060,0.015328,0.351818,13907
13907,4000,0.017767,True,0.095102,0.100021,0.101121,0.129258,0.050010,0.003041,0.322446,13907
13907,4000,0.011495,True,0.088567,0.083922,0.093891,0.121264,0.055190,0.006570,0.299730,13907
13907,4000,0.021096,False,0.094293,0.094084,0.097679,0.138194,0.047215,0.005959,0.308459,13907
13907,4000,0.019757,True,0.104787,0.092850,0.121830,0.147812,0.056657,0.005347,0.349975,13907
13907,4000,0.015614,True,0.091679,0.099897,0.096886,0.124784,0.045148,0.002371,0.310459,13907
13907,4000,0.020489,False,0.101294,0.099150,0.098839,0.151982,0.055204,0.007206,0.327417,13907
13907,4000,0.013840,True,0.099048,0.097121,0.110632,0.141880,0.046557,0.001040,0.327858,13907
13907,4000,0.027772,False,0.107981,0.103843,0.116993,0.165633,0.045453,0.024902,0.344979,13907
13907,4000,0.020584,False,0.103611,0.109635,0.104163,0.145795,0.054851,0.012365,0.345566,13907
13907,4000,0.017477,True,0.106819,0.116247,0.114058,0.145897,0.051075,0.018129,0.361159,13907
13907,4000,0.021285,False,0.114495,0.120658,0.126463,0.149455,0.061406,0.007483,0.395244,13907
13907,4000,0.025606,False,0.103599,0.119556,0.123818,0.123756,0.047267,0.006771,0.370256,13907
13907,4000,0.020957,False,0.110922,0.089412,0.136021,0.148213,0.070041,0.008208,0.380360,13907
13907,4000,0.024807,False,0.109085,0.107121,0.128544,0.143006,0.057670,0.007240,0.376256,13907
13907,4000,0.015235,True,0.108637,0.097191,0.121428,0.149453,0.066475,0.008283,0.367126,13907
13907,4000,0.017762,True,0.096713,0.099846,0.094630,0.137412,0.054964,0.007791,0.321168,13907
13907,4000,0.024093,False,0.094297,0.082814,0.093488,0.138899,0.061985,0.020327,0.308233,13907
13907,4000,0.017835,True,0.091782,0.086610,0.093904,0.124082,0.062532,0.013859,0.312445,13907
13907,4000,0.013493,True,0.101563,0.088529,0.112423,0.131595,0.073706,0.013478,0.352647,13907
13907,4000,0.017152,True,0.102866,0.092552,0.112437,0.143492,0.062983,0.009346,0.345332,13907
13907,4000,0.017935,True,0.095340,0.099030,0.101907,0.123975,0.056446,0.006047,0.329733,13907
13907,4000,0.017562,True,0.095519,0.119556,0.093111,0.120970,0.048438,0.000637,0.333045,13907
13907,4000,0.021442,False,0.101949,0.117317,0.095644,0.134560,0.060273,0.010717,0.349739,13907
13907,4000,0.014704,True,0.097598,0.129822,0.090452,0.112007,0.058111,0.008084,0.353195,13907
13907,4000,0.016246,True,0.099907,0.120855,0.092587,0.128535,0.057649,0.008554,0.346253,13907
13907,4000,0.019068,True,0.101589,0.108914,0.098142,0.133481,0.065817,0.002675,0.349594,13907
13907,4000,0.017070,True,0.094618,0.108475,0.091473,0.120792,0.057731,0.015674,0.329297,13907
13907,4000,0.011820,True,0.105571,0.098952,0.117151,0.137413,0.068766,0.008545,0.365499,13907
13907,4000,0.017526,True,0.094162,0.085416,0.103215,0.138234,0.049783,0.007091,0.308193,13907
13907,4000,0.022523,False,0.098320,0.079535,0.109410,0.150860,0.053478,0.000517,0.314816,13907
13907,4000,0.014109,True,0.102391,0.099847,0.118050,0.131527,0.060140,0.004885,0.356299,13907
13907,4000,0.018904,True,0.106360,0.107994,0.118200,0.144938,0.054309,0.001393,0.360375,13907
13907,4000,0.020022,False,0.093291,0.082761,0.102014,0.133430,0.054959,0.008347,0.309473,13907
13907,4000,0.019349,True,0.098608,0.091973,0.114872,0.133493,0.054092,0.006896,0.335523,13907
13907,4000,0.016500,True,0.096343,0.089818,0.118876,0.127563,0.049116,0.008227,0.331102,13907
13907,4000,0.017563,True,0.105692,0.105374,0.126863,0.147152,0.043378,0.004133,0.354627,13907
13907,4000,0.020783,False,0.102307,0.110975,0.126025,0.120093,0.052136,0.002423,0.368421,13907
13907,4000,0.020191,False,0.103218,0.114677,0.118942,0.122846,0.056406,0.029465,0.369634,13907
13907,4000,0.019946,True,0.101076,0.108229,0.120256,0.121705,0.054115,0.000583,0.360557,13907
13907,4000,0.017182,True,0.108644,0.109339,0.126586,0.152190,0.046462,0.001976,0.363421,13907
13907,4000,0.021326,False,0.108347,0.124874,0.128283,0.136472,0.043758,0.008500,0.379161,13907
13907,4000,0.016095,True,0.105962,0.108726,0.125349,0.139875,0.049898,0.011152,0.364146,13907
13907,4000,0.018553,True,0.102948,0.117282,0.115886,0.121588,0.057036,0.008605,0.369597,13907
13907,4000,0.025656,False,0.110570,0.100430,0.104604,0.175157,0.062090,0.013674,0.347188,13907
13907,4000,0.019996,True,0.106661,0.078396,0.119178,0.150000,0.079070,0.002858,0.357561,13907
13907,4000,0.016195,True,0.104527,0.064729,0.106828,0.173824,0.072728,0.009766,0.320284,13907
13907,4000,0.016951,True,0.098008,0.070531,0.105531,0.161418,0.054554,0.003417,0.301611,13907
13907,4000,0.018641,True,0.092426,0.070940,0.113997,0.134298,0.050469,0.007984,0.304744,13907
13907,4000,0.013899,True,0.103177,0.102408,0.116477,0.138678,0.055144,0.004338,0.351907,13907
13907,4000,0.025046,False,0.101553,0.122166,0.126237,0.115482,0.042325,0.018308,0.369370,13907
13907,4000,0.015276,True,0.097816,0.128634,0.120564,0.109637,0.032429,0.010170,0.357059,13907
13907,4000,0.020167,False,0.099712,0.126856,0.113450,0.120572,0.037970,0.007823,0.354103,13907
13907,4000,0.013949,True,0.093162,0.101875,0.102722,0.113129,0.054921,0.003761,0.331127,13907
13907,4000,0.015128,True,0.085975,0.107687,0.083861,0.104737,0.047615,0.017206,0.304515,13907
13907,4000,0.012826,True,0.086599,0.097169,0.092144,0.103951,0.053132,0.008499,0.309060,13907
13907,4000,0.013813,True,0.084650,0.110590,0.093578,0.090518,0.043914,0.001601,0.314031,13907
13907,4000,0.020276,False,0.090777,0.094884,0.111125,0.097544,0.059556,0.008923,0.337405,13907
13907,4000,0.017700,True,0.089890,0.110755,0.101643,0.093479,0.053685,0.021615,0.336835,13907
13907,4000,0.018273,True,0.099504,0.096042,0.122618,0.125358,0.053998,0.024538,0.349121,13907
13907,4000,0.014678,True,0.088773,0.089230,0.093547,0.119322,0.052995,0.006705,0.302722,13907
13907,4000,0.014022,True,0.089363,0.095128,0.104321,0.107797,0.050205,0.006146,0.318575,13907
13907,4000,0.015845,True,0.087059,0.085509,0.106135,0.100700,0.055891,0.008236,0.315666,13907
13907,4000,0.013076,True,0.089036,0.095463,0.105719,0.092201,0.062763,0.006765,0.334792,13907
13907,4000,0.006792,True,0.080446,0.085188,0.084618,0.092039,0.059937,0.004109,0.292537,13907
13907,4000,0.014322,True,0.074334,0.079583,0.078964,0.084980,0.053809,0.008207,0.270346,13907
13907,4000,0.013008,True,0.083880,0.088184,0.092666,0.093334,0.061335,0.019706,0.308076,13907
13907,4000,0.021425,False,0.087163,0.090521,0.096266,0.101226,0.060641,0.016320,0.315337,13907
13907,4000,0.017585,True,0.100507,0.103036,0.115169,0.115289,0.068534,0.009287,0.365320,13907
13907,4000,0.019163,True,0.098478,0.089147,0.105141,0.115667,0.083956,0.004163,0.355435,13907
13907,4000,0.014735,True,0.091052,0.090405,0.091925,0.115928,0.065950,0.012754,0.317944,13907
13907,4000,0.015605,True,0.091547,0.085611,0.105127,0.113077,0.062374,0.005428,0.323926,13907
13907,4000,0.016543,True,0.089467,0.080825,0.094804,0.119767,0.062471,0.016659,0.306100,13907
13907,4000,0.014125,True,0.086175,0.077886,0.096139,0.117980,0.052694,0.007269,0.291833,13907
13907,4000,0.011600,True,0.083203,0.086236,0.080650,0.121932,0.043995,0.005803,0.272031,13907
13907,4000,0.014130,True,0.085856,0.099072,0.087104,0.107440,0.049808,0.018768,0.301254,13907
13907,4000,0.017055,True,0.080342,0.086590,0.079157,0.117477,0.038143,0.007893,0.262810,13907
13907,4000,0.017593,True,0.101098,0.103458,0.106093,0.135033,0.059809,0.012775,0.345638,13907
13907,4000,0.012263,True,0.088175,0.099746,0.096456,0.100298,0.056202,0.019069,0.320999,13907
13907,4000,0.016224,True,0.087573,0.083837,0.095602,0.113563,0.057290,0.007590,0.303588,13907
13907,4000,0.017863,True,0.090386,0.106378,0.109309,0.101905,0.043951,0.022430,0.329877,13907
13907,4000,0.019176,True,0.095852,0.110679,0.103563,0.118641,0.050523,0.010282,0.337820,13907
13907,4000,0.018750,True,0.091938,0.090529,0.110988,0.116958,0.049277,0.007928,0.321188,13907
13907,4000,0.016592,True,0.097044,0.087522,0.103978,0.131595,0.065083,0.007337,0.330104,13907
13907,4000,0.011590,True,0.090316,0.087071,0.100604,0.111727,0.061861,0.003532,0.319242,13907
13907,4000,0.012489,True,0.084875,0.074783,0.089019,0.122596,0.053104,0.008485,0.280205,13907
13907,4000,0.021998,False,0.090582,0.097171,0.091270,0.124828,0.049059,0.006304,0.305061,13907
13907,4000,0.015366,True,0.085177,0.106084,0.093892,0.099155,0.041576,0.007584,0.306997,13907
13907,4000,0.015940,True,0.094136,0.125627,0.114389,0.092294,0.044235,0.007144,0.358677,13907
13907,4000,0.015164,True,0.092786,0.121401,0.099775,0.092394,0.057572,0.012392,0.352021,13907
13907,4000,0.013109,True,0.099177,0.120954,0.106856,0.109263,0.059637,0.007161,0.364678,13907
13907,4000,0.010998,True,0.085236,0.082445,0.095196,0.099328,0.063975,0.007773,0.308277,13907
13907,4000,0.013831,True,0.086893,0.080461,0.101206,0.103832,0.062072,0.005743,0.311501,13907
13907,4000,0.014169,True,0.075135,0.073191,0.084432,0.093443,0.049473,0.008144,0.264976,13907
13907,4000,0.013891,True,0.074856,0.075835,0.085377,0.101089,0.037124,0.007249,0.254692,13907
13907,4000,0.018467,True,0.090116,0.102502,0.087144,0.115803,0.055015,0.021196,0.312803,13907
13907,4000,0.016028,True,0.089443,0.114429,0.099642,0.108932,0.034770,0.007931,0.316712,13907
13907,4000,0.013440,True,0.100666,0.120119,0.110326,0.121082,0.051135,0.009136,0.358623,13907
13907,4000,0.014380,True,0.086223,0.108921,0.093486,0.090907,0.051578,0.007230,0.321535,13907
13907,4000,0.016412,True,0.084396,0.101209,0.093790,0.097354,0.045231,0.009044,0.305401,13907
13907,4000,0.016211,True,0.086469,0.092208,0.102078,0.103189,0.048404,0.007630,0.309534,13907
13907,4000,0.014572,True,0.083854,0.093379,0.092468,0.102564,0.047004,0.012656,0.297113,13907
13907,4000,0.014750,True,0.085767,0.098513,0.091286,0.101273,0.051998,0.014412,0.307903,13907
13907,4000,0.020100,False,0.102496,0.115018,0.106242,0.116681,0.072042,0.013149,0.373071,13907
13907,4000,0.020864,False,0.101774,0.113846,0.113819,0.116716,0.062717,0.008005,0.369481,13907
13907,4000,0.020451,False,0.110170,0.139056,0.120778,0.111396,0.069449,0.007401,0.416292,13907
13907,4000,0.019225,True,0.108968,0.114472,0.119946,0.128781,0.072674,0.010764,0.391599,13907
13907,4000,0.013680,True,0.100025,0.117279,0.104713,0.125341,0.052765,0.015923,0.350681,13907
